t_s,v_kmh,P_wheel_kW,P_bus_kW,P_batt_kW,E_batt_kWh,P_regen_capt_kW
136.6000,48.8359,14.5057,18.7574,-8.9105,-0.5100,0.0000
136.7000,48.8360,14.0706,18.2548,-8.3924,-0.5102,0.0000
136.8000,48.8349,13.7477,17.8818,-8.0079,-0.5105,0.0000
136.9000,48.8326,13.3889,17.4672,-7.5805,-0.5107,0.0000
137.0000,48.8287,13.2299,17.2836,-7.3911,-0.5109,0.0000
137.1000,48.8251,13.6309,17.7468,-7.8687,-0.5111,0.0000
137.2000,48.8244,14.5388,18.7957,-8.9500,-0.5113,0.0000
137.3000,48.8278,15.6592,20.0900,-10.2843,-0.5116,0.0000
137.4000,48.8357,16.9652,21.5987,-11.8397,-0.5119,0.0000
137.5000,48.8492,18.1214,22.9344,-13.2167,-0.5123,0.0000
137.6000,48.8660,18.9007,23.8347,-14.1448,-0.5126,0.0000
137.7000,48.8855,19.4793,24.5031,-14.8340,-0.5130,0.0000
137.8000,48.9066,19.7308,24.7937,-15.1335,-0.5135,0.0000
137.9000,48.9279,19.5051,24.5329,-14.8646,-0.5139,0.0000
138.0000,48.9472,19.0133,23.9647,-14.2789,-0.5143,0.0000
138.1000,48.9646,18.2663,23.1018,-13.3893,-0.5147,0.0000
138.2000,48.9781,17.2311,21.9059,-12.1564,-0.5150,0.0000
138.3000,48.9874,16.0758,20.5712,-10.7805,-0.5153,0.0000
138.4000,48.9919,14.8803,19.1902,-9.3567,-0.5156,0.0000
138.5000,48.9920,13.8901,18.0462,-8.1774,-0.5159,0.0000
138.6000,48.9889,13.2769,17.3379,-7.4471,-0.5161,0.0000
138.7000,48.9843,12.8738,16.8723,-6.9671,-0.5163,0.0000
138.8000,48.9781,12.5806,16.5335,-6.6179,-0.5165,0.0000
138.9000,48.9712,12.6822,16.6509,-6.7388,-0.5166,0.0000
139.0000,48.9658,13.0719,17.1011,-7.2030,-0.5168,0.0000
139.1000,48.9620,13.4707,17.5618,-7.6779,-0.5170,0.0000
139.2000,48.9597,13.7511,17.8857,-8.0119,-0.5173,0.0000
139.3000,48.9581,13.9837,18.1545,-8.2889,-0.5175,0.0000
139.4000,48.9575,14.1178,18.3093,-8.4485,-0.5177,0.0000
139.5000,48.9570,14.1600,18.3581,-8.4989,-0.5180,0.0000
139.6000,48.9568,14.1322,18.3259,-8.4657,-0.5182,0.0000
139.7000,48.9560,13.9809,18.1511,-8.2855,-0.5184,0.0000
139.8000,48.9546,13.7646,17.9013,-8.0280,-0.5187,0.0000
139.9000,48.9521,13.4127,17.4948,-7.6089,-0.5189,0.0000
140.0000,48.9481,13.1099,17.1450,-7.2483,-0.5191,0.0000
140.1000,48.9433,13.0894,17.1213,-7.2238,-0.5193,0.0000
140.2000,48.9391,13.2144,17.2657,-7.3727,-0.5195,0.0000
140.3000,48.9353,13.4241,17.5079,-7.6224,-0.5197,0.0000
140.4000,48.9327,13.7337,17.8656,-7.9912,-0.5199,0.0000
140.5000,48.9313,13.9585,18.1253,-8.2589,-0.5201,0.0000
140.6000,48.9305,13.9372,18.1007,-8.2335,-0.5204,0.0000
140.7000,48.9289,13.7179,17.8473,-7.9723,-0.5206,0.0000
140.8000,48.9264,13.5232,17.6224,-7.7405,-0.5208,0.0000
140.9000,48.9233,13.4962,17.5912,-7.7083,-0.5210,0.0000
141.0000,48.9206,13.3807,17.4577,-7.5707,-0.5212,0.0000
141.1000,48.9167,12.8996,16.9020,-6.9978,-0.5214,0.0000
141.2000,48.9103,12.3847,16.3072,-6.3845,-0.5216,0.0000
141.3000,48.9024,11.7438,15.5669,-5.6213,-0.5218,0.0000
141.4000,48.8910,10.7726,14.4448,-4.4646,-0.5219,0.0000
141.5000,48.8757,9.9715,13.5194,-3.5105,-0.5220,0.0000
141.6000,48.8582,9.8329,13.3592,-3.3454,-0.5221,0.0000
141.7000,48.8419,10.1253,13.6970,-3.6936,-0.5222,0.0000
141.8000,48.8267,10.7313,14.3971,-4.4154,-0.5223,0.0000
141.9000,48.8151,11.7977,15.6291,-5.6855,-0.5225,0.0000
142.0000,48.8083,12.8703,16.8682,-6.9629,-0.5227,0.0000
142.1000,48.8050,13.3909,17.4696,-7.5829,-0.5229,0.0000
142.2000,48.8022,13.6560,17.7758,-7.8986,-0.5231,0.0000
142.3000,48.8010,13.9618,18.1291,-8.2628,-0.5233,0.0000
142.4000,48.8005,14.3036,18.5240,-8.6699,-0.5235,0.0000
142.5000,48.8019,14.9948,19.3225,-9.4931,-0.5238,0.0000
142.6000,48.8069,16.1699,20.6800,-10.8925,-0.5241,0.0000
142.7000,48.8173,17.6834,22.4284,-12.6951,-0.5244,0.0000
142.8000,48.8339,19.0286,23.9824,-14.2971,-0.5248,0.0000
142.9000,48.8547,19.8545,24.9365,-15.2807,-0.5252,0.0000
143.0000,48.8776,20.1793,25.3117,-15.6676,-0.5256,0.0000
143.1000,48.9008,20.3996,25.5663,-15.9300,-0.5261,0.0000
143.2000,48.9252,20.5907,25.7870,-16.1575,-0.5265,0.0000
143.3000,48.9498,20.3969,25.5631,-15.9267,-0.5269,0.0000
143.4000,48.9726,20.1114,25.2333,-15.5867,-0.5274,0.0000
143.5000,48.9948,19.9047,24.9945,-15.3405,-0.5278,0.0000
143.6000,49.0159,19.5156,24.5451,-14.8772,-0.5282,0.0000
143.7000,49.0350,18.9034,23.8378,-14.1481,-0.5286,0.0000
143.8000,49.0513,18.5913,23.4772,-13.7763,-0.5290,0.0000
143.9000,49.0679,18.6040,23.4919,-13.7915,-0.5294,0.0000
144.0000,49.0842,18.6606,23.5573,-13.8589,-0.5298,0.0000
144.1000,49.1012,18.6399,23.5334,-13.8342,-0.5302,0.0000
144.2000,49.1173,18.6379,23.5311,-13.8319,-0.5306,0.0000
144.3000,49.1342,18.8815,23.8125,-14.1220,-0.5309,0.0000
144.4000,49.1521,19.0542,24.0120,-14.3276,-0.5313,0.0000
144.5000,49.1702,19.2022,24.1829,-14.5039,-0.5317,0.0000
144.6000,49.1891,19.4559,24.4761,-14.8061,-0.5322,0.0000
144.7000,49.2091,19.8074,24.8821,-15.2247,-0.5326,0.0000
144.8000,49.2306,20.1810,25.3137,-15.6696,-0.5330,0.0000
144.9000,49.2533,20.5629,25.7549,-16.1244,-0.5334,0.0000
145.0000,49.2776,20.9302,26.1793,-16.5619,-0.5339,0.0000
145.1000,49.3031,21.1918,26.4814,-16.8734,-0.5344,0.0000
145.2000,49.3292,21.0260,26.2898,-16.6759,-0.5348,0.0000
145.3000,49.3533,20.4959,25.6775,-16.0446,-0.5353,0.0000
145.4000,49.3753,19.9876,25.0903,-15.4393,-0.5357,0.0000
145.5000,49.3953,19.6219,24.6678,-15.0037,-0.5361,0.0000
145.6000,49.4144,19.5592,24.5954,-14.9291,-0.5366,0.0000
145.7000,49.4338,19.6752,24.7293,-15.0672,-0.5370,0.0000
145.8000,49.4537,19.8334,24.9121,-15.2556,-0.5374,0.0000
145.9000,49.4743,20.0499,25.1622,-15.5134,-0.5378,0.0000
146.0000,49.4957,20.1190,25.2421,-15.5957,-0.5382,0.0000
146.1000,49.5167,19.9616,25.0602,-15.4083,-0.5387,0.0000
146.2000,49.5368,19.8836,24.9702,-15.3154,-0.5391,0.0000
146.3000,49.5571,19.8728,24.9577,-15.3026,-0.5395,0.0000
146.4000,49.5770,19.7223,24.7838,-15.1233,-0.5400,0.0000
146.5000,49.5960,19.5046,24.5323,-14.8640,-0.5404,0.0000
146.6000,49.6142,19.2831,24.2764,-14.6002,-0.5408,0.0000
146.7000,49.6315,19.0712,24.0317,-14.3479,-0.5412,0.0000
146.8000,49.6480,18.8707,23.8000,-14.1091,-0.5416,0.0000
146.9000,49.6636,18.6790,23.5786,-13.8808,-0.5420,0.0000
147.0000,49.6785,18.5075,23.3804,-13.6765,-0.5423,0.0000
147.1000,49.6928,18.3571,23.2067,-13.4974,-0.5427,0.0000
147.2000,49.7066,18.2135,23.0408,-13.3264,-0.5431,0.0000
147.3000,49.7197,18.0744,22.8801,-13.1607,-0.5435,0.0000
147.4000,49.7323,17.9415,22.7266,-13.0025,-0.5438,0.0000
147.5000,49.7443,17.8029,22.5664,-12.8374,-0.5442,0.0000
147.6000,49.7558,17.6704,22.4134,-12.6796,-0.5445,0.0000
147.7000,49.7668,17.5439,22.2672,-12.5289,-0.5449,0.0000
147.8000,49.7773,17.4230,22.1275,-12.3849,-0.5452,0.0000
147.9000,49.7873,17.3075,21.9941,-12.2473,-0.5456,0.0000
148.0000,49.7969,17.1971,21.8666,-12.1159,-0.5459,0.0000
148.1000,49.8060,17.0917,21.7448,-11.9903,-0.5463,0.0000
148.2000,49.8148,16.9909,21.6284,-11.8704,-0.5466,0.0000
148.3000,49.8231,16.8947,21.5173,-11.7558,-0.5469,0.0000
148.4000,49.8311,16.8028,21.4111,-11.6463,-0.5472,0.0000
148.5000,49.8387,16.7150,21.3096,-11.5417,-0.5476,0.0000
148.6000,49.8459,16.6311,21.2127,-11.4418,-0.5479,0.0000
148.7000,49.8529,16.5509,21.1201,-11.3463,-0.5482,0.0000
148.8000,49.8595,16.4744,21.0317,-11.2551,-0.5485,0.0000
148.9000,49.8658,16.4012,20.9472,-11.1681,-0.5488,0.0000
149.0000,49.8718,16.3314,20.8665,-11.0849,-0.5491,0.0000
149.1000,49.8776,16.2646,20.7894,-11.0054,-0.5494,0.0000
149.2000,49.8831,16.2009,20.7158,-10.9295,-0.5497,0.0000
149.3000,49.8884,16.1400,20.6454,-10.8570,-0.5500,0.0000
149.4000,49.8934,16.0773,20.5730,-10.7822,-0.5503,0.0000
149.5000,49.8982,16.0173,20.5037,-10.7108,-0.5506,0.0000
149.6000,49.9027,15.9647,20.4429,-10.6481,-0.5509,0.0000
149.7000,49.9071,15.9143,20.3847,-10.5882,-0.5512,0.0000
149.8000,49.9112,15.8663,20.3292,-10.5309,-0.5515,0.0000
149.9000,49.9152,15.8249,20.2815,-10.4817,-0.5518,0.0000
150.0000,49.9190,15.7855,20.2359,-10.4347,-0.5521,0.0000
150.1000,49.9226,15.7432,20.1871,-10.3844,-0.5524,0.0000
150.2000,49.9261,15.7029,20.1404,-10.3363,-0.5527,0.0000
150.3000,49.9294,15.6643,20.0959,-10.2904,-0.5530,0.0000
150.4000,49.9326,15.6275,20.0533,-10.2465,-0.5533,0.0000
150.5000,49.9356,15.5923,20.0127,-10.2046,-0.5535,0.0000
150.6000,49.9385,15.5587,19.9739,-10.1646,-0.5538,0.0000
150.7000,49.9413,15.5266,19.9368,-10.1264,-0.5541,0.0000
150.8000,49.9439,15.4960,19.9014,-10.0899,-0.5544,0.0000
150.9000,49.9465,15.4667,19.8676,-10.0551,-0.5547,0.0000
151.0000,49.9489,15.4387,19.8353,-10.0218,-0.5549,0.0000
151.1000,49.9512,15.4120,19.8045,-9.9900,-0.5552,0.0000
151.2000,49.9534,15.3865,19.7750,-9.9596,-0.5555,0.0000
151.3000,49.9555,15.3622,19.7469,-9.9306,-0.5558,0.0000
151.4000,49.9575,15.3389,19.7200,-9.9029,-0.5561,0.0000
151.5000,49.9594,15.3167,19.6943,-9.8764,-0.5563,0.0000
151.6000,49.9612,15.2955,19.6698,-9.8511,-0.5566,0.0000
151.7000,49.9630,15.2752,19.6464,-9.8270,-0.5569,0.0000
151.8000,49.9646,15.2559,19.6240,-9.8040,-0.5572,0.0000
151.9000,49.9662,15.2374,19.6027,-9.7819,-0.5574,0.0000
152.0000,49.9677,15.2197,19.5823,-9.7609,-0.5577,0.0000
152.1000,49.9692,15.2029,19.5628,-9.7408,-0.5580,0.0000
152.2000,49.9706,15.1868,19.5442,-9.7217,-0.5582,0.0000
152.3000,49.9719,15.1714,19.5264,-9.7033,-0.5585,0.0000
152.4000,49.9732,15.1567,19.5095,-9.6859,-0.5588,0.0000
152.5000,49.9744,15.1427,19.4933,-9.6691,-0.5590,0.0000
152.6000,49.9755,15.1293,19.4778,-9.6532,-0.5593,0.0000
152.7000,49.9766,15.1165,19.4630,-9.6380,-0.5596,0.0000
152.8000,49.9777,15.1042,19.4489,-9.6234,-0.5598,0.0000
152.9000,49.9787,15.0926,19.4354,-9.6095,-0.5601,0.0000
153.0000,49.9796,15.0814,19.4225,-9.5962,-0.5604,0.0000
153.1000,49.9806,15.0708,19.4102,-9.5835,-0.5606,0.0000
153.2000,49.9814,15.0606,19.3985,-9.5714,-0.5609,0.0000
153.3000,49.9823,15.0509,19.3873,-9.5599,-0.5612,0.0000
153.4000,49.9831,15.0416,19.3766,-9.5488,-0.5614,0.0000
153.5000,49.9838,15.0328,19.3663,-9.5383,-0.5617,0.0000
153.6000,49.9846,15.0243,19.3566,-9.5282,-0.5620,0.0000
153.7000,49.9853,15.0163,19.3472,-9.5186,-0.5622,0.0000
153.8000,49.9859,15.0085,19.3383,-9.5094,-0.5625,0.0000
153.9000,49.9866,14.9949,19.3226,-9.4932,-0.5628,0.0000
154.0000,49.9871,14.9639,19.2867,-9.4562,-0.5630,0.0000
154.1000,49.9875,14.7966,19.0935,-9.2571,-0.5633,0.0000
154.2000,49.9868,14.4183,18.6564,-8.8064,-0.5635,0.0000
154.3000,49.9843,14.0249,18.2020,-8.3380,-0.5638,0.0000
154.4000,49.9807,13.7589,17.8947,-8.0212,-0.5640,0.0000
154.5000,49.9762,13.5063,17.6028,-7.7203,-0.5642,0.0000
154.6000,49.9707,13.3854,17.4632,-7.5763,-0.5644,0.0000
154.7000,49.9653,13.5513,17.6549,-7.7739,-0.5647,0.0000
154.8000,49.9610,13.7790,17.9180,-8.0451,-0.5649,0.0000
154.9000,49.9574,14.0202,18.1965,-8.3323,-0.5651,0.0000
155.0000,49.9550,14.3776,18.6094,-8.7580,-0.5653,0.0000
155.1000,49.9541,14.7360,19.0235,-9.1849,-0.5656,0.0000
155.2000,49.9544,15.0156,19.3465,-9.5179,-0.5658,0.0000
155.3000,49.9556,15.2454,19.6119,-9.7915,-0.5661,0.0000
155.4000,49.9576,15.2837,19.6562,-9.8371,-0.5664,0.0000
155.5000,49.9591,15.2096,19.5706,-9.7489,-0.5667,0.0000
155.6000,49.9605,15.1930,19.5514,-9.7291,-0.5669,0.0000
155.7000,49.9619,15.1771,19.5330,-9.7101,-0.5672,0.0000
155.8000,49.9632,15.1619,19.5155,-9.6921,-0.5675,0.0000
155.9000,49.9644,15.2015,19.5613,-9.7393,-0.5677,0.0000
156.0000,49.9660,15.1792,19.5355,-9.7127,-0.5680,0.0000
156.1000,49.9671,15.0747,19.4147,-9.5882,-0.5683,0.0000
156.2000,49.9679,14.7811,19.0755,-9.2385,-0.5685,0.0000
156.3000,49.9668,14.2676,18.4824,-8.6270,-0.5688,0.0000
156.4000,49.9637,13.5825,17.6910,-7.8111,-0.5690,0.0000
156.5000,49.9574,12.7539,16.7337,-6.8243,-0.5692,0.0000
156.6000,49.9481,12.0283,15.8954,-5.9601,-0.5694,0.0000
156.7000,49.9363,11.5767,15.3738,-5.4223,-0.5696,0.0000
156.8000,49.9236,11.2793,15.0302,-5.0681,-0.5697,0.0000
156.9000,49.9097,11.1852,14.9215,-4.9560,-0.5698,0.0000
157.0000,49.8963,11.3508,15.1128,-5.1532,-0.5700,0.0000
157.1000,49.8837,11.3804,15.1470,-5.1884,-0.5701,0.0000
157.2000,49.8706,11.2539,15.0008,-5.0378,-0.5703,0.0000
157.3000,49.8570,11.3594,15.1227,-5.1634,-0.5704,0.0000
157.4000,49.8448,11.7210,15.5405,-5.5941,-0.5706,0.0000
157.5000,49.8340,12.1746,16.0644,-6.1343,-0.5707,0.0000
157.6000,49.8253,12.6019,16.5581,-6.6433,-0.5709,0.0000
157.7000,49.8178,13.0360,17.0596,-7.1602,-0.5711,0.0000
157.8000,49.8124,13.2302,17.2840,-7.3915,-0.5713,0.0000
157.9000,49.8063,13.0491,17.0747,-7.1758,-0.5715,0.0000
158.0000,49.7996,12.6584,16.6234,-6.7105,-0.5717,0.0000
158.1000,49.7906,12.4737,16.4100,-6.4905,-0.5719,0.0000
158.2000,49.7825,12.4002,16.3250,-6.4029,-0.5720,0.0000
158.3000,49.7730,12.3547,16.2725,-6.3488,-0.5722,0.0000
158.4000,49.7646,12.6570,16.6218,-6.7089,-0.5724,0.0000
158.5000,49.7574,12.9032,16.9062,-7.0021,-0.5726,0.0000
158.6000,49.7509,12.7895,16.7748,-6.8666,-0.5728,0.0000
158.7000,49.7429,12.7941,16.7802,-6.8721,-0.5730,0.0000
158.8000,49.7364,13.1694,17.2137,-7.3191,-0.5732,0.0000
158.9000,49.7313,13.2165,17.2681,-7.3752,-0.5734,0.0000
159.0000,49.7252,13.1139,17.1496,-7.2530,-0.5736,0.0000
159.1000,49.7193,13.0555,17.0821,-7.1834,-0.5738,0.0000
159.2000,49.7128,12.5853,16.5389,-6.6234,-0.5740,0.0000
159.3000,49.7034,11.6200,15.4237,-5.4738,-0.5741,0.0000
159.4000,49.6896,10.9100,14.6035,-4.6282,-0.5743,0.0000
159.5000,49.6748,10.7401,14.4072,-4.4258,-0.5744,0.0000
159.6000,49.6598,10.7732,14.4455,-4.4653,-0.5745,0.0000
159.7000,49.6453,11.0041,14.7123,-4.7403,-0.5747,0.0000
159.8000,49.6321,11.4669,15.2469,-5.2915,-0.5748,0.0000
159.9000,49.6212,11.9270,15.7785,-5.8395,-0.5750,0.0000
160.0000,49.6115,12.0972,15.9751,-6.0422,-0.5751,0.0000
160.1000,49.6020,12.3369,16.2519,-6.3276,-0.5753,0.0000
160.2000,49.5941,12.6802,16.6486,-6.7365,-0.5755,0.0000
160.3000,49.5872,12.8017,16.7889,-6.8811,-0.5757,0.0000
160.4000,49.5803,12.7734,16.7562,-6.8475,-0.5759,0.0000
160.5000,49.5732,13.0365,17.0601,-7.1608,-0.5760,0.0000
160.6000,49.5684,13.3867,17.4647,-7.5779,-0.5763,0.0000
160.7000,49.5640,13.6658,17.7872,-7.9103,-0.5765,0.0000
160.8000,49.5613,14.2897,18.5079,-8.6533,-0.5767,0.0000
160.9000,49.5616,15.0970,19.4406,-9.6148,-0.5770,0.0000
161.0000,49.5651,15.8163,20.2715,-10.4714,-0.5772,0.0000
161.1000,49.5709,16.5986,21.1752,-11.4031,-0.5775,0.0000
161.2000,49.5803,17.5092,22.2272,-12.4876,-0.5779,0.0000
161.3000,49.5930,18.2292,23.0589,-13.3451,-0.5782,0.0000
161.4000,49.6078,18.7026,23.6058,-13.9089,-0.5786,0.0000
161.5000,49.6241,18.9565,23.8992,-14.2113,-0.5790,0.0000
161.6000,49.6407,18.9506,23.8923,-14.2043,-0.5794,0.0000
161.7000,49.6568,18.8023,23.7210,-14.0276,-0.5798,0.0000
161.8000,49.6723,18.5999,23.4872,-13.7866,-0.5802,0.0000
161.9000,49.6868,18.4007,23.2571,-13.5494,-0.5805,0.0000
162.0000,49.7006,18.2416,23.0732,-13.3598,-0.5809,0.0000
162.1000,49.7139,18.0894,22.8975,-13.1786,-0.5813,0.0000
162.2000,49.7265,17.9441,22.7296,-13.0055,-0.5817,0.0000
162.3000,49.7386,17.8364,22.6052,-12.8773,-0.5820,0.0000
162.4000,49.7503,17.7337,22.4865,-12.7549,-0.5824,0.0000
162.5000,49.7616,17.6043,22.3370,-12.6008,-0.5827,0.0000
162.6000,49.7723,17.4807,22.1942,-12.4536,-0.5831,0.0000
162.7000,49.7826,17.3626,22.0578,-12.3130,-0.5834,0.0000
162.8000,49.7923,17.2498,21.9275,-12.1786,-0.5838,0.0000
162.9000,49.8017,17.1420,21.8029,-12.0503,-0.5841,0.0000
163.0000,49.8106,17.0390,21.6840,-11.9276,-0.5844,0.0000
163.1000,49.8191,16.9406,21.5703,-11.8105,-0.5848,0.0000
163.2000,49.8273,16.8467,21.4618,-11.6985,-0.5851,0.0000
163.3000,49.8350,16.7569,21.3581,-11.5916,-0.5854,0.0000
163.4000,49.8425,16.5119,21.0750,-11.2998,-0.5857,0.0000
163.5000,49.8484,16.1803,20.6920,-10.9049,-0.5860,0.0000
163.6000,49.8532,15.9184,20.3894,-10.5930,-0.5863,0.0000
163.7000,49.8571,15.6354,20.0625,-10.2560,-0.5866,0.0000
163.8000,49.8598,15.3495,19.7322,-9.9155,-0.5869,0.0000
163.9000,49.8615,15.1196,19.4666,-9.6416,-0.5872,0.0000
164.0000,49.8625,15.1155,19.4618,-9.6367,-0.5874,0.0000
164.1000,49.8642,15.2773,19.6488,-9.8295,-0.5877,0.0000
164.2000,49.8664,15.3795,19.7669,-9.9513,-0.5880,0.0000
164.3000,49.8688,15.2507,19.6181,-9.7978,-0.5883,0.0000
164.4000,49.8700,15.0045,19.3336,-9.5046,-0.5885,0.0000
164.5000,49.8706,14.7727,19.0659,-9.2286,-0.5888,0.0000
164.6000,49.8700,14.5055,18.7571,-8.9103,-0.5890,0.0000
164.7000,49.8686,14.3956,18.6302,-8.7794,-0.5893,0.0000
164.8000,49.8672,14.5315,18.7872,-8.9413,-0.5895,0.0000
164.9000,49.8667,14.9825,19.3082,-9.4784,-0.5898,0.0000
165.0000,49.8688,15.4406,19.8374,-10.0239,-0.5901,0.0000
165.1000,49.8718,15.6204,20.0451,-10.2381,-0.5903,0.0000
165.2000,49.8752,15.7316,20.1736,-10.3705,-0.5906,0.0000
165.3000,49.8791,15.8728,20.3367,-10.5387,-0.5909,0.0000
165.4000,49.8835,15.9256,20.3978,-10.6016,-0.5912,0.0000
165.5000,49.8878,15.8765,20.3411,-10.5432,-0.5915,0.0000
165.6000,49.8918,15.9127,20.3828,-10.5862,-0.5918,0.0000
165.7000,49.8963,15.9475,20.4231,-10.6277,-0.5921,0.0000
165.8000,49.9006,15.8880,20.3543,-10.5568,-0.5924,0.0000
165.9000,49.9046,15.5810,19.9997,-10.1912,-0.5927,0.0000
166.0000,49.9066,15.1590,19.5122,-9.6886,-0.5929,0.0000
166.1000,49.9074,14.8443,19.1486,-9.3138,-0.5932,0.0000
166.2000,49.9070,14.5472,18.8054,-8.9600,-0.5935,0.0000
166.3000,49.9055,14.2859,18.5035,-8.6488,-0.5937,0.0000
166.4000,49.9031,13.9679,18.1362,-8.2701,-0.5939,0.0000
166.5000,49.8993,13.3260,17.3946,-7.5055,-0.5942,0.0000
166.6000,49.8921,12.6259,16.5858,-6.6718,-0.5944,0.0000
166.7000,49.8830,12.0160,15.8812,-5.9454,-0.5945,0.0000
166.8000,49.8712,11.3143,15.0706,-5.1097,-0.5947,0.0000
166.9000,49.8568,10.7244,14.3892,-4.4072,-0.5948,0.0000
167.0000,49.8406,10.3227,13.9251,-3.9287,-0.5949,0.0000
167.1000,49.8232,9.8165,13.3404,-3.3259,-0.5950,0.0000
167.2000,49.8032,9.1880,12.6142,-2.5774,-0.5951,0.0000
167.3000,49.7812,8.6968,12.0468,-1.9924,-0.5952,0.0000
167.4000,49.7575,8.3695,11.6687,-1.6025,-0.5952,0.0000
167.5000,49.7331,8.1548,11.4207,-1.3469,-0.5953,0.0000
167.6000,49.7079,7.9890,11.2291,-1.1494,-0.5953,0.0000
167.7000,49.6822,7.9418,11.1746,-1.0932,-0.5953,0.0000
167.8000,49.6568,7.9553,11.1902,-1.1093,-0.5954,0.0000
167.9000,49.6313,8.2489,11.5294,-1.4589,-0.5954,0.0000
168.0000,49.6082,8.9122,12.2957,-2.2490,-0.5955,0.0000
168.1000,49.5879,9.6599,13.1594,-3.1394,-0.5955,0.0000
168.2000,49.5704,10.2741,13.8689,-3.8709,-0.5956,0.0000
168.3000,49.5549,10.8818,14.5710,-4.5946,-0.5957,0.0000
168.4000,49.5422,11.2669,15.0158,-5.0532,-0.5959,0.0000
168.5000,49.5296,11.0763,14.7956,-4.8262,-0.5960,0.0000
168.6000,49.5154,10.5356,14.1710,-4.1823,-0.5961,0.0000
168.7000,49.4988,10.0377,13.5958,-3.5893,-0.5962,0.0000
168.8000,49.4809,9.4556,12.9234,-2.8961,-0.5963,0.0000
168.9000,49.4599,8.9193,12.3038,-2.2574,-0.5964,0.0000
169.0000,49.4380,8.8835,12.2625,-2.2148,-0.5965,0.0000
169.1000,49.4168,8.9778,12.3714,-2.3270,-0.5965,0.0000
169.2000,49.3957,8.8998,12.2813,-2.2341,-0.5966,0.0000
169.3000,49.3739,9.0773,12.4863,-2.4455,-0.5967,0.0000
169.4000,49.3543,9.3407,12.7907,-2.7593,-0.5967,0.0000
169.5000,49.3346,9.1757,12.6000,-2.5627,-0.5968,0.0000
169.6000,49.3137,9.1083,12.5222,-2.4825,-0.5969,0.0000
169.7000,49.2936,9.4752,12.9461,-2.9195,-0.5970,0.0000
169.8000,49.2756,9.9179,13.4574,-3.4466,-0.5970,0.0000
169.9000,49.2590,10.3109,13.9114,-3.9147,-0.5971,0.0000
170.0000,49.2441,10.9300,14.6267,-4.6521,-0.5973,0.0000
170.1000,49.2322,11.6780,15.4907,-5.5428,-0.5974,0.0000
170.2000,49.2231,12.3517,16.2691,-6.3452,-0.5976,0.0000
170.3000,49.2164,13.1139,17.1496,-7.2530,-0.5978,0.0000
170.4000,49.2132,14.0033,18.1770,-8.3122,-0.5980,0.0000
170.5000,49.2133,15.0111,19.3413,-9.5124,-0.5982,0.0000
170.6000,49.2178,16.0249,20.5125,-10.7199,-0.5985,0.0000
170.7000,49.2258,16.8397,21.4537,-11.6902,-0.5988,0.0000
170.8000,49.2364,17.1738,21.8397,-12.0882,-0.5991,0.0000
170.9000,49.2469,17.0404,21.6856,-11.9293,-0.5995,0.0000
171.0000,49.2565,16.7271,21.3236,-11.5561,-0.5998,0.0000
171.1000,49.2645,16.2546,20.7778,-10.9934,-0.6001,0.0000
171.2000,49.2705,15.7731,20.2216,-10.4200,-0.6004,0.0000
171.3000,49.2748,15.3964,19.7864,-9.9714,-0.6007,0.0000
171.4000,49.2778,15.1851,19.5423,-9.7197,-0.6010,0.0000
171.5000,49.2805,15.0253,19.3577,-9.5294,-0.6012,0.0000
171.6000,49.2823,14.8806,19.1906,-9.3571,-0.6015,0.0000
171.7000,49.2839,14.7196,19.0046,-9.1654,-0.6018,0.0000
171.8000,49.2844,14.6715,18.9489,-9.1080,-0.6020,0.0000
171.9000,49.2856,15.1881,19.5457,-9.7232,-0.6023,0.0000
172.0000,49.2901,15.9133,20.3835,-10.5870,-0.6026,0.0000
172.1000,49.2968,16.5473,21.1160,-11.3420,-0.6029,0.0000
172.2000,49.3062,17.1911,21.8597,-12.1088,-0.6032,0.0000
172.3000,49.3178,17.5268,22.2475,-12.5086,-0.6035,0.0000
172.4000,49.3297,17.2649,21.9450,-12.1967,-0.6039,0.0000
172.5000,49.3392,16.7108,21.3049,-11.5368,-0.6042,0.0000
172.6000,49.3468,16.1741,20.6848,-10.8975,-0.6045,0.0000
172.7000,49.3522,15.7876,20.2383,-10.4372,-0.6048,0.0000
172.8000,49.3568,15.4567,19.8560,-10.0431,-0.6051,0.0000
172.9000,49.3596,15.0024,19.3313,-9.5021,-0.6054,0.0000
173.0000,49.3607,14.7251,19.0109,-9.1718,-0.6056,0.0000
173.1000,49.3615,14.5151,18.7683,-8.9217,-0.6059,0.0000
173.2000,49.3610,14.1220,18.3142,-8.4536,-0.6061,0.0000
173.3000,49.3587,13.9476,18.1127,-8.2459,-0.6064,0.0000
173.4000,49.3569,13.9968,18.1696,-8.3045,-0.6066,0.0000
173.5000,49.3550,14.0640,18.2471,-8.3845,-0.6068,0.0000
173.6000,49.3537,14.1784,18.3793,-8.5207,-0.6070,0.0000
173.7000,49.3526,14.2594,18.4729,-8.6172,-0.6073,0.0000
173.8000,49.3520,14.2804,18.4971,-8.6422,-0.6075,0.0000
173.9000,49.3511,14.1440,18.3396,-8.4798,-0.6078,0.0000
174.0000,49.3494,13.7606,17.8966,-8.0231,-0.6080,0.0000
174.1000,49.3456,13.3429,17.4141,-7.5257,-0.6082,0.0000
