rpm,T_shaft_Nm,feasible,P_shaft_kW,P_dc_kW,P_cu_kW,P_fe_kW,P_fw_kW,P_inv_kW,I_amp_A,eta
0.0,-540.0,0,,,,,,,,
0.0,-525.0,0,,,,,,,,
0.0,-510.0,0,,,,,,,,
0.0,-495.0,0,,,,,,,,
0.0,-480.0,0,,,,,,,,
0.0,-465.0,0,,,,,,,,
0.0,-450.0,0,,,,,,,,
0.0,-435.0,0,,,,,,,,
0.0,-420.0,0,,,,,,,,
0.0,-405.0,0,,,,,,,,
0.0,-390.0,0,,,,,,,,
0.0,-375.0,0,,,,,,,,
0.0,-360.0,0,,,,,,,,
0.0,-345.0,0,,,,,,,,
0.0,-330.0,0,,,,,,,,
0.0,-315.0,0,,,,,,,,
0.0,-300.0,0,,,,,,,,
0.0,-285.0,0,,,,,,,,
0.0,-270.0,0,,,,,,,,
0.0,-255.0,0,,,,,,,,
0.0,-240.0,0,,,,,,,,
0.0,-225.0,0,,,,,,,,
0.0,-210.0,0,,,,,,,,
0.0,-195.0,0,,,,,,,,
0.0,-180.0,0,,,,,,,,
0.0,-165.0,0,,,,,,,,
0.0,-150.0,0,,,,,,,,
0.0,-135.0,0,,,,,,,,
0.0,-120.0,0,,,,,,,,
0.0,-105.0,0,,,,,,,,
0.0,-90.0,0,,,,,,,,
0.0,-75.0,0,,,,,,,,
0.0,-60.0,0,,,,,,,,
0.0,-45.0,0,,,,,,,,
0.0,-30.0,0,,,,,,,,
0.0,-15.0,0,,,,,,,,
0.0,0.0,1,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0
0.0,15.0,0,,,,,,,,
0.0,30.0,0,,,,,,,,
0.0,45.0,0,,,,,,,,
0.0,60.0,0,,,,,,,,
0.0,75.0,0,,,,,,,,
0.0,90.0,0,,,,,,,,
0.0,105.0,0,,,,,,,,
0.0,120.0,0,,,,,,,,
0.0,135.0,0,,,,,,,,
0.0,150.0,0,,,,,,,,
0.0,165.0,0,,,,,,,,
0.0,180.0,0,,,,,,,,
0.0,195.0,0,,,,,,,,
0.0,210.0,0,,,,,,,,
0.0,225.0,0,,,,,,,,
0.0,240.0,0,,,,,,,,
0.0,255.0,0,,,,,,,,
0.0,270.0,0,,,,,,,,
0.0,285.0,0,,,,,,,,
0.0,300.0,0,,,,,,,,
0.0,315.0,0,,,,,,,,
0.0,330.0,0,,,,,,,,
0.0,345.0,0,,,,,,,,
0.0,360.0,0,,,,,,,,
0.0,375.0,0,,,,,,,,
0.0,390.0,0,,,,,,,,
0.0,405.0,0,,,,,,,,
0.0,420.0,0,,,,,,,,
